Names,Country,Sponsor,Observed,Tools used
APT 20 (FireEye)                      APT 8 (Mandiant)                      Violin Panda (Crowdstrike)                      TH3Bug (Palo Alto),China,[UNKNOWN],Sectors: Chemical[comma] Construction[comma] Defense[comma] Energy[comma] Engineering[comma] Financial[comma]                      Government[comma] Healthcare[comma] High-Tech[comma] Pharmaceutical[comma] Telecommunications and                      Transportation.                      Countries: East Asia[comma] Thailand[comma] USA and Uyghur sympathizers.,CAKELOG[comma] CANDYCLOG[comma] CETTRA[comma] COOKIECLOG[comma] PlugX and Poison Ivy.
APT 29 (Mandiant)                    Cozy Bear (CrowdStrike)                    The Dukes (F-Secure)                    Group 100 (Talos)                    Yttrium (Microsoft)                    Iron Hemlock (SecureWorks)                    Minidionis (Palo Alto)                    CloudLook (Kaspersky)                    Grizzly Steppe (US Government) together with Sofacy[comma] APT 28[comma] Fancy Bear[comma] Sednit,Russia,State-sponsored,Sectors: Defense[comma] Energy[comma] Government[comma] Imagery[comma] Law Enforcement[comma] Media[comma] NGOs[comma]                    Pharmaceutical[comma] Telecommunications[comma] Think Tanks and Transportation.                    Countries: Australia[comma] Azerbaijan[comma] Belarus[comma] Belgium[comma] Brazil[comma] Bulgaria[comma] China[comma] Cyprus[comma]                    Czech[comma] France[comma] Georgia[comma] Germany[comma] Hungary[comma] India[comma] Ireland[comma] Israel[comma] Japan[comma]                    Kazakhstan[comma] Kyrgyzstan[comma] Latvia[comma] Lebanon[comma] Lithuania[comma] Luxembourg[comma] Mexico[comma]                    Montenegro[comma] Netherlands[comma] New Zealand[comma] Portugal[comma] Romania[comma] Russia[comma] Slovenia[comma]                    Spain[comma] South Korea[comma] Turkey[comma] Uganda[comma] Ukraine[comma] USA[comma] Uzbekistan and NATO.,ATI-Agent[comma] CloudDuke[comma] Cobalt Strike[comma] CosmicDuke[comma] CozyDuke[comma] CozyCar[comma]                    GeminiDuke[comma] HammerDuke[comma] HAMMERTOSS[comma] meek[comma] Mimikatz[comma] MiniDuke[comma]                                                                                                            24       Threat Group Cards: A Threat Actor Encyclopedia                 OnionDuke[comma] PinchDuke[comma] POSHSPY[comma] PowerDuke[comma] SeaDaddy[comma] SeaDuke and                 tDiscoverer.
APT 30 (Mandiant)                      Override Panda (CrowdStrik),China,State-sponsored,Sectors: Defense[comma] Government and ASEAN.                      Countries: Bhutan[comma] Brunei[comma] Cambodia[comma] India[comma] Indonesia[comma] Japan[comma] Laos[comma] Malaysia[comma]                      Myanmar[comma] Nepal[comma] Philippines[comma] Saudi Arabia[comma] Singapore[comma] South Korea[comma] Thailand[comma]                      Vietnam and USA.                                                                                                               27       Threat Group Cards: A Threat Actor Encyclopedia,BACKBEND[comma] BACKSPACE[comma] CREAMSICLE[comma] FLASHFLOOD[comma] GEMCUTTER[comma]                   MILKMAID[comma] NETEAGLE[comma] ORANGEADE[comma] SHIPSHAPE and SPACESHIP.
APT 32 (Mandiant)                    OceanLotus (SkyEye Labs)                    SeaLotus                    APT-C-00 (360)                    Ocean Buffalo (CrowdStrike),Vietnam,State-sponsored,Sectors: Government[comma] Hospitality[comma] Manufacturing[comma] Retail[comma] dissidents[comma] journalists and                    ASEAN.                    Countries: Australia[comma] Brunei[comma] Cambodia[comma] China[comma] Germany[comma] Indonesia[comma] Laos[comma]                    Malaysia[comma] Myanmar[comma] Philippines[comma] Singapore[comma] Thailand[comma] USA and Vietnam.,CACTUSTORCH[comma] Cobalt Strike[comma] Cuegoe[comma] Denis[comma] fingerprintjs2[comma] Goopy[comma] KerrDown[comma]                    KOMPROGO[comma] Mimikatz[comma] Nishang[comma] OSX_OCEANLOTUS.D[comma] PHOREAL[comma]                    PowerSploit[comma] Salgorea[comma] SOUNDBITE[comma] Terracotta VPN[comma] WINDSHIELD and 0-day                    exploits in MS Office.
APT 33 (Mandiant)                     Elfin (Symantec)                     Magnallium (Dragos),Iran,State-sponsored,Sectors: Aviation[comma] Defense[comma] Energy[comma] Petrochemical and others.                     Countries: Saudi Arabia[comma] South Korea and USA.,AutoIt backdoor[comma] DarkComet[comma] DROPSHOT[comma] Empire[comma] LaZagne[comma] Mimikatz[comma] NanoCore                     RAT[comma] NETWIRE RC[comma] PoshC2[comma] PowerSploit[comma] POWERTON[comma] PupyRAT[comma] QuasarRAT[comma]                     Remcos[comma] Ruler[comma] Shamoon[comma] SHAPESHIFT and TURNEDUP.                     Mar 2019     Attacks on Multiple Organizations in Saudi Arabia and U.S.                                  The Elfin espionage group (aka APT33) has remained highly active                                  over the past three years[comma] attacking at least 50 organizations in Saudi                                  Arabia[comma] the United States[comma] and a range of other countries.                                  
Axiom (Novetta)                    Group 72 (Talos),China,State-sponsored,Sectors: High profile organizations with high value intellectual property in                    Aerospace[comma] Defense[comma] Industrial[comma] Manufacturing and Media.                    Countries: Japan[comma] South Korea[comma] Taiwan and USA.,Cobalt Strike[comma] DeputyDog[comma] Derusbi[comma] Gh0st RAT[comma] Hikit[comma] HydraQ[comma] PlugX[comma] Poison Ivy[comma]                    ShadowPad Winnti and ZXShell.
Bahamut (Bellingcat),[Middle East],[UNKNOWN],Sectors: Political[comma] economic and social.                    Countries: Egypt[comma] Iran[comma] Palestine[comma] Qatar[comma] Tunisia[comma] Turkey and UAE.,Bahamut and DownPaper.
Barium (Microsoft),China,State-sponsored,Sectors: Multimedia[comma] Online video game companies and Technology.,Barlaiy[comma] Cobalt Strike[comma] PlugXL and Winnti.
Berserk Bear (CrowdStrike)                     Dragonfly 2.0 (Symantec)                     Dymalloy (Dragos),Russia,[UNKNOWN],Sectors: Energy.                     Countries: Germany[comma] Switzerland and Turkey and USA.,Bitsadmin[comma] Goodor[comma] Impacket[comma] Karagany and Phisherly. Operations          Dec 2015     Symantec has evidence indicating that the Dragonfly 2.0 campaign performed                        has been underway since at least December 2015 and has identified a                                  distinct increase in activity in 2017.                                  
Blackgear (Trend Micro)                    Topgear,China,[UNKNOWN],Countries: Japan[comma] South Korea and Taiwan.,Comnie[comma] Elirks and Protux.
BlackOasis (Kaspersky),[Middle East],[UNKNOWN],Sectors: Media[comma] Think Tanks[comma] activists and the UN.                    Countries: Afghanistan[comma] Angola[comma] Bahrain[comma] Iran[comma] Iraq[comma] Jordan[comma] Libya[comma] Netherlands[comma]                    Nigeria[comma] Russia[comma] Saudi Arabia[comma] Tunisia and UK.,FinFisher[comma] FinSpy[comma] WingBird and 0-day vulnerabilities in Flash.
BlackTech (Trend Micro),[Unknown],[UNKNOWN],Sectors: Financial[comma] Government[comma] Healthcare and Technology                    Countries: Hong Kong[comma] Japan and Taiwan.,BIFROST[comma] DRIGO[comma] KIVARS[comma] PLEAD and XBOW.
Blind Eagle (360)                     APT-C-36 (360),[Latin America],State-sponsored,Sectors: Financial[comma] Government and large domestic companies and multinational                     corporation branches.                     Countries: Colombia.,Imminent Monitor RAT. Information         
Blue Termite (Kaspersky)                    Cloudy Omega (Symantec),China,[UNKNOWN],Sectors: Automotive[comma] Chemical[comma] Construction[comma] Education[comma] Energy[comma] Financial[comma] Food                    and Agriculture[comma] Government[comma] Healthcare[comma] High-Tech[comma] Industry[comma] IT[comma] Media[comma] Real                    estate[comma] Telecommunications[comma] Transportation and several others.                    Countries: Japan.,Emdivi and 0-days from the Hacking Team breach.
Bookworm (Palo Alto),[Unknown],[UNKNOWN],Sectors: Government.                    Countries: Thailand.,Bookworm[comma] FFRAT[comma] Poison Ivy[comma] PlugX and Scieron.
Bronze Bulter (SecureWorks)                     Tick (Symantec)                     RedBaldNight (Trend Micro),China,[UNKNOWN],Sectors: Critical infrastructure[comma] Defense[comma] Government[comma] Industry[comma] International                     relations[comma] Manufacturing and Technology.                     Countries: China[comma] Japan[comma] Russia[comma] Singapore and South Korea.,Daserf[comma] Datper[comma] gsecdump[comma] Mimikatz[comma] Minzen[comma] Muirim[comma] Nioupale[comma] rarstar[comma] Windows                     Credential Editor and xxmm. Information         
Buhtrap (Group-IB),Russia,[UNKNOWN],Sectors: Financial.                    Countries: Russia and Ukraine.,AmmyyRAT[comma] Buhtrap[comma] Niteris EK[comma] NSIS and Ratopak.
Cadelle (Symantec),Iran,State-sponsored,Countries: Germany[comma] Iran[comma] Iraq[comma] Netherlands[comma] Pakistan[comma] Saudi Arabia[comma] Singapore[comma]                    Sudan[comma] Tajikistan[comma] Thailand[comma] Turkey[comma] UAE[comma] UK and USA.,ANTAK and Cadelspy.
Callisto Group (F-Secure),[Unknown],[UNKNOWN],Sectors: Defense[comma] Government[comma] Think Tanks and journalists.                     Countries: Europe and the South Caucasus.,RCS Callisto. Information         
Carbanak (Kaspersky)                    Anunak (Group-IB)                    Carbon Spider (CrowdStrike),Ukraine,[UNKNOWN],Sectors: Financial.                    Countries: Australia[comma] Austria[comma] Brazil[comma] Bulgaria[comma] Canada[comma] China[comma] Czech[comma] France[comma]                    Germany[comma] Hong Kong[comma] Iceland[comma] India[comma] Luxemburg[comma] Morocco[comma] Nepal[comma] Norway[comma]                    Pakistan[comma] Poland[comma] Russia[comma] Spain[comma] Sweden[comma] Switzerland[comma] Taiwan[comma] UK[comma] Ukraine[comma] USA                    and Uzbekistan.,Agent ORM[comma] AmmyyRAT[comma] ANTAK[comma] Ave Maria[comma] BABYMETAL[comma] Backdoor Batel[comma]                    Bateleur[comma] BELLHOP[comma] MBR Eraser[comma] Cain & Abel[comma] Carbanak[comma] Cobalt Strike[comma]                    DNSMessenger[comma] DNSRat[comma] DRIFTPIN[comma] Griffon[comma] HALFBAKED[comma] JS Flash[comma] KLRD[comma]                    Mimikatz[comma] MBR Eraser[comma] Netscan[comma] Odinaff[comma] POWERPIPE[comma] POWERSOURCE[comma]                    PSExec[comma] Sekur[comma] SocksBot[comma] SoftPerfect Network Scanner[comma] SQLRat[comma] Team Viewer[comma]                    TinyMet and VB Flash.
Careto (Kaspersky)                    The Mask (Kaspersky)                    Mask (Kaspersky)                    Ugly Face (Kaspersky),Spain,[UNKNOWN],Sectors: Diplomatic missions[comma] Education[comma] Energy and Government.                    Countries: Brazil[comma] France[comma] Germany[comma] Iran[comma] Libya[comma] Morocco[comma] Poland[comma] South Africa[comma]                    Spain[comma] Switzerland[comma] Tunisia[comma] UK[comma] USA and Venezuela.,Careto.
Chafer (Symantec)                    APT 39 (Mandiant),Iran,State-sponsored,Sectors: Airlines[comma] Airports[comma] Engineering[comma] Government[comma] High-Tech[comma] IT[comma] Shipping and                    Logistics[comma] Telecommunications and Transportation.                    Countries: Israel[comma] Jordan[comma] Middle East[comma] Saudi Arabia[comma] Spain[comma] Turkey[comma] UAE and USA.,ASPXSpy[comma] CACHEMONEY[comma] EternalBlue[comma] HTTPTunnel[comma] MechaFlounder Mimikatz[comma]                    NBTScan[comma] Non-sucking Service Manager (NSSM)[comma] Plink[comma] POWBAT[comma] Pwdump[comma]                    Remcom[comma] Remexi[comma] SEAWEED[comma] SMB hacking tools[comma] UltraVNC and Windows                    Credential Editor.
Charming Kitten (CrowdStrike)                    Newscaster (Symantec)                    NewsBeef (Kaspersky)                    Group 83 (Talos)                    Parastoo (Flashpoint),Iran,[UNKNOWN],Sectors: Defense and Government.                    Countries: Afghanistan[comma] Algeria[comma] Brazil[comma] China[comma] Denmark[comma] France[comma] Germany[comma] India[comma]                    Iran[comma] Iraq[comma] Israel[comma] Japan[comma] Romania[comma] Russia[comma] Switzerland[comma] Syria[comma] Turkey[comma] UAE[comma] UK[comma]                    Ukraine and USA.,DownPaper[comma] FireMalv[comma] MacDownloader and Stealer Builder.
Clever Kitten (CrowdStrike)                     Group 41 (Talos),Iran,[UNKNOWN],Global companies with strategic importance to countries that are contrary to Iranian                     interests.,Acunetix Web Vulnerability Scanner[comma] PHP Webshell RC SHELL Information         
Cobalt Group (Group-IB)                        Cobalt Gang (Palo Alto)                        Cobalt Spider (CrowdStrike)                        Gold Kingswood (SecureWorks),Russia,[UNKNOWN],Sectors: Financial.                        Countries: Argentina[comma] Armenia[comma] Austria[comma] Azerbaijan[comma] Belarus[comma] Bulgaria[comma] Canada[comma]                        China[comma] Czech[comma] Estonia[comma] Georgia[comma] Italy[comma] Jordan[comma] Kazakhstan[comma] Kuwait[comma] Kyrgyzstan[comma]                        Malaysia[comma] Moldova[comma] Netherlands[comma] Poland[comma] Romania[comma] Russia[comma] Spain[comma] Taiwan[comma]                        Tajikistan[comma] Thailand[comma] Turkey[comma] UK[comma] Ukraine[comma] USA and Vietnam.,AmmyyRAT[comma] ATMSpitter[comma] ATMRipper Cobalt Strike[comma] CobInt[comma] Cyst Downloader[comma]                        Mimikatz[comma] Metasploit Stager[comma] More_eggs[comma] SDelete[comma] SoftPerfect Network Scanner                        and SpicyOmelette.    Operations          Jun 2016     In June 2016[comma] the first attack conducted by the Cobalt group was    performed                        tracked at a large Russian bank[comma] where hackers attempted to steal                                     money from ATMs. The attackers infiltrated the bank's network[comma]                                     gained control over it[comma] compromised the domain administrator's                                     account[comma] and reached the ATM control server.                                     
Cold River (Lastline)                    Nahr el bared (original place)                    Nahr Elbard (transliteration),[Unknown],[UNKNOWN],Countries: Canada[comma] India and Middle East (mostly Lebanon and UAE).,Agent_Drable.
Comment Crew (Symantec)                      Comment Panda (CrowdStrike)                      TG-8223 (SecureWorks)                      APT 1 (Mandiant)                      BrownFox (Symantec)                      Group 3 (Talos)                      Byzantine Hades (US State Department)                      Byzantine Candor (US State Department)                      Shanghai Group (SecureWorks)                      GIF89a (Kaspersky),China,State-sponsored[comma] 2nd Bureau of the People's Liberation Army (PLA) General Staff                      Department's (GSD) 3rd Department[comma] commonly known by its Military Unit Cover                      Designator (MUCD) as Unit 61398.,Sectors: Aerospace[comma] Chemical[comma] Construction[comma] Education[comma] Energy[comma] Engineering[comma]                      Entertainment[comma] Financial[comma] Food and Agriculture[comma] Government[comma] Healthcare[comma] High-                      Tech[comma] IT[comma] Manufacturing[comma] Media[comma] Mining[comma] Navigation[comma] Non-profit organizations[comma]                      Research[comma] Satellites[comma] Telecommunications[comma] Transportation and lawyers.                      Countries: Belgium[comma] Canada[comma] France[comma] India[comma] Israel[comma] Japan[comma] Luxembourg[comma] Norway[comma]                      Singapore[comma] South Africa[comma] Switzerland[comma] Taiwan[comma] UAE[comma] UK and USA.,Auriga[comma] bangat[comma] BISCUIT[comma] Bouncer[comma] Cachedump[comma] CALENDAR[comma] Combos[comma]                      CookieBag[comma] Dairy[comma] GetMail[comma] GLOOXMAIL[comma] Goggles[comma] gsecdump[comma] Hacksfase[comma]                      Helauto[comma] Kurton[comma] Lslsass[comma] ManItsMe[comma] MAPIget[comma] Mimikatz[comma] MiniASP[comma] NewsReels[comma]                      Pass-The-Hash Toolkit[comma] Poison Ivy[comma] pwdump[comma] SeaSalt[comma] ShadyRAT[comma] StarsyPound[comma]                      Sword[comma] TabMsgSQL[comma] Tarsip[comma] Tasklist[comma] WebC2-AdSpace[comma] WebC2-Ausov[comma] WebC2-                      Bolid[comma] WebC2-Cson[comma] WebC2-DIV[comma] WebC2-GreenCat[comma] WebC2-Head[comma] WebC2-Kt3[comma]                      WebC2-Qbp[comma] WebC2-Rave[comma] WebC2-Table[comma] WebC2-UGX and WebC2-Yahoo.
Confucius (Palo Alto),[South Asia],[UNKNOWN],Countries: Most of the South and Southeast Asian countries (including Mongolia)[comma]                    most of the Middle Eastern countries[comma] with a focus on Pakistan[comma] most of the African                    countries[comma] Trinidad[comma] Tobago and Ukraine.,ApacheStealer[comma] ByeBye Shell[comma] Confucius[comma] MY24[comma] sctrls[comma] remote-access-c3 and                    sip_telephone[comma] swissknife2 and Sneepy.
CopyKittens (Trend Micro)                     Slayer Kitten (CrowdStrike),Iran,[UNKNOWN],Sectors: Defense[comma] Education[comma] Government[comma] IT and Media.                     Countries: Germany[comma] Israel[comma] Jordan[comma] Saudi Arabia[comma] Turkey and USA.,"Cobalt Strike[comma] Empire[comma] Matryoshka[comma] TDTESS[comma] Vminst and ZPP. Operations          2013          Operation ""Wilted Tulip"" performed                         In this report[comma] Trend Micro and ClearSky expose a vast espionage                                   apparatus spanning the entire time the group has been active. It                                   includes recent incidents as well as older ones that have not been                                   publicly reported; new malware; exploitation[comma] delivery and command                                   and control infrastructure; and the group's modus operandi. We                                   dubbed this activity Operation Wilted Tulip                                   "
Corkow (Group-IB)                    Metel (Kaspersky),Russia,[UNKNOWN],Sectors: Financial.                    Countries: Argentina[comma] Austria[comma] Belarus[comma] Brazil[comma] Croatia[comma] Cyprus[comma] Denmark[comma] Estonia[comma]                    France[comma] Germany[comma] Italy[comma] Kazakhstan[comma] Latvia[comma] Mexico[comma] Peru[comma] Poland[comma] Singapore[comma]                    Spain[comma] Switzerland[comma] Russia[comma] Thailand[comma] Turkey[comma] UK[comma] Ukraine and USA.,Corkow[comma] Metel.
Covellite (Dragos),North Korea,[UNKNOWN],Sectors: Energy.                     Countries: East Asia[comma] Europe and USA.,Information         
Cutting Kitten (CrowdStrike)                     TG-2889 (SecureWorks),Iran,State-sponsored[comma] security company ITSecTeam,Sectors: Aerospace[comma] Airlines[comma] Airports[comma] Chemical[comma] Defense[comma] Education[comma] Energy[comma]                     Financial (banks: Bank of America[comma] US Bancorp[comma] Fifth Third Bank[comma] Citigroup[comma] PNC[comma]                     BB&T[comma] Wells Fargo[comma] Capital One and HSBC)[comma] Government[comma] Healthcare[comma] Oil and gas[comma]                     Technology[comma] Telecommunications[comma] Transportation and Utilities.                     Countries: Canada[comma] China[comma] France[comma] Germany[comma] India[comma] Israel[comma] Kuwait[comma] Mexico[comma]                     Netherlands[comma] Pakistan[comma] Qatar[comma] Saudi Arabia[comma] South Korea[comma] Turkey[comma] UAE[comma] UK and                     USA.,"CsExt[comma] Jasus[comma] KAgent[comma] Net Crawler[comma] PvcOut[comma] SynFlooder[comma] TinyZBot[comma] WndTest and                     ZhMimikatz. Operations          2012          Operation ""Cleaver"" performed                         Operation Cleaver has[comma] over the past several years[comma] conducted a                                   significant global surveillance and infiltration campaign. To date it has                                   successfully evaded detection by existing security technologies. The                                   group is believed to work from Tehran[comma] Iran[comma] although auxiliary team                                   members were identified in other locations including the Netherlands[comma]                                   Canada[comma] and the UK. The group successfully leveraged both publicly                                   available[comma] and customized tools to attack and compromise targets                                   around the globe. The targets include military[comma] oil and gas[comma] energy and                                   utilities[comma] transportation[comma] airlines[comma] airports[comma] hospitals[comma]                                   telecommunications[comma] technology[comma] education[comma] aerospace[comma] Defense                                   Industrial Base (DIB)[comma] chemical companies[comma] and governments.                                   "
Dark Caracal (Lookout),Lebanon,State-sponsored[comma] General Directorate of General Security (GDGS),Sectors: Defense[comma] Education[comma] Financial[comma] Government[comma] Healthcare[comma] Manufacturing[comma]                        Utilities[comma] activists[comma] lawyers and journalists.                        Countries: China[comma] France[comma] Germany[comma] India[comma] Italy[comma] Jordan[comma] Lebanon[comma] Nepal[comma]                        Netherlands[comma] Pakistan[comma] Philippines[comma] Qatar[comma] Russia[comma] Saudi Arabia[comma] South Korea[comma]                        Switzerland[comma] Syria[comma] Thailand[comma] USA[comma] Venezuela and Vietnam.,Bandook[comma] CrossRAT[comma] FinFisher and Pallas.    Information         
DarkHotel (Kaspersky)                      APT-C-06 (360)                      SIG25 (NSA)                      Dubnium (Microsoft)                      Fallout Team (FireEye)                      Shadow Crane (CrowdStrike),South Korea,State-sponsored,Sectors: Defense[comma] Energy[comma] Government[comma] Healthcare[comma] NGOs[comma] Pharmaceutical[comma]                      Research and Technology.                      Countries: Bangladesh[comma] Belgium[comma] China[comma] Germany[comma] Greece[comma] Hong Kong[comma] India[comma]                      Indonesia[comma] Ireland[comma] Italy[comma] Japan[comma] Kazakhstan[comma] Lebanon[comma] North Korea[comma] Mexico[comma]                      Mozambique[comma] Pakistan[comma] Philippines[comma] Russia[comma] Serbia[comma] Singapore[comma] South Korea[comma]                      Taiwan[comma] Thailand[comma] UAE[comma] USA and others.,DarkHotel[comma] GreezeBackdoor[comma] Luder[comma] Nemim[comma] Pioneer and Tapaoux.
DarkHydrus (Palo Alto)                    LazyMeerkat (Kaspersky),Iran,[UNKNOWN],Sectors: Education and Government.                    Countries: Middle East.,Cobalt Strike[comma] Mimikatz[comma] Phishery and RogueRobin.
Deep Panda (CrowdStrike)                    APT 26 (Mandiant)                    Shell Crew (RSA)                    WebMasters (Kaspersky)                    KungFu Kittens (FireEye)                    Group 13 (Talos)                    PinkPanther (RSA)                    Black Vine (Symantec),China,[UNKNOWN],Sectors: Defense[comma] Financial[comma] Government[comma] Non-profit organizations[comma]                    Telecommunications and Think Tanks.                    Countries: Australia[comma] Southeast Asia and USA.,Cobalt Strike[comma] Derusbi[comma] JerseyMikes[comma] Mivast[comma] PlugX[comma] Sakula[comma] StreamEx and Tasklist.
Desert Falcons (Kaspersky)                    APT-C-23 (360)                    Two-tailed Scorpion (360),Gaza,[UNKNOWN],Sectors: Defense[comma] Education[comma] Government and Infrastructure.                    Countries: Albania[comma] Algeria[comma] Australia[comma] Belgium[comma] Bosnia and Herzegovina[comma] Canada[comma]                    China[comma] Cyprus[comma] Denmark[comma] Egypt[comma] France[comma] Germany[comma] Greece[comma] Hungary[comma] India[comma] Iran[comma]                    Iraq[comma] Israel[comma] Italy[comma] Japan[comma] Jordan[comma] Kuwait[comma] Lebanon[comma] Libya[comma] Mali[comma] Mauritania[comma] Mexico[comma]                    Morocco[comma] Netherlands[comma] Norway[comma] Pakistan[comma] Palestine[comma] Portugal[comma] Qatar[comma] Romania[comma]                    Russia[comma] Saudi Arabia[comma] South Korea[comma] Sudan[comma] Sweden[comma] Syria[comma] Taiwan[comma] Turkey[comma] UAE[comma]                    Ukraine[comma] USA[comma] Uzbekistan[comma] Yemen and Zimbabwe.,FrozenCell[comma] GlanceLove[comma] GnatSpy[comma] KASPERAGENT[comma] MICROPSIA[comma] VAMP and                    ViperRAT.
DNSpionage (Talos),Iran,State-sponsored,Sectors: Airlines[comma] Government[comma] Law Enforcement[comma] Telecommunications and Internet                    infrastructure.                    Countries: Albania[comma] Cyprus[comma] Egypt[comma] Iraq[comma] Jordan[comma] Kuwait[comma] Lebanon[comma] Libya[comma] North                    Africa[comma] Sweden[comma] UAE and USA.,DNSpionage and Karkoff.
Domestic Kitten (Check Point),Iran,[UNKNOWN],Countries: Afghanistan[comma] Iran[comma] Iraq and UK. The targets are Kurdish and Turkish                    natives and ISIS supporters.,Information
Donot Team (ASERT)                    APT-C-35 (360),[Unknown],[UNKNOWN],Sectors: Government.                    Countries: Pakistan.,EHDevel and yty.
DragonOK (FireEye),China,[UNKNOWN],Sectors: High-Tech and Manufacturing.                    Countries: Cambodia[comma] Japan[comma] Russia[comma] Taiwan and Tibet.,FormerFirstRAT[comma] HelloBridge[comma] HTRAN[comma] IsSpace[comma] KHRAT[comma] NewCT[comma] NFlog[comma] PlugX[comma]                    Poison Ivy[comma] Rambo[comma] Sysget and TidePool.
DustSquad (Kaspersky),[Unknown],[UNKNOWN],Sectors: Government.                    Countries: Afghanistan and Central Asia.,Octopus.
Dust Storm (Cylance),[Unknown],Seems state-sponsored,Sectors: Energy and Oil and gas.                    Countries: Japan[comma] South Korea[comma] USA[comma] Europe and Southeast Asia.,Gh0st RAT[comma] Misdat[comma] MiS-Type[comma] Poison Ivy and S-Type.
